itemID,item_type,category,definition,gloss
item_1,word,sounds,baa baa,baa baa
item_2,word,sounds,choo choo,choo choo
item_3,word,sounds,cockadoodledoo,cockadoodledoo
item_4,word,sounds,grrr,grrr
item_5,word,sounds,meow,meow
item_6,word,sounds,moo,moo
item_7,word,sounds,ouch,ouch
item_8,word,sounds,quack quack,quack quack
item_9,word,sounds,uh oh,uh oh
item_10,word,sounds,vroom,vroom
item_11,word,sounds,woof woof,woof woof
item_12,word,sounds,yum yum,yum yum
item_13,word,animals,alligator,alligator
item_14,word,animals,animal,animal
item_15,word,animals,ant,ant
item_16,word,animals,bear,bear
item_17,word,animals,bee,bee
item_18,word,animals,bird,bird
item_19,word,animals,bug,bug
item_20,word,animals,bunny,bunny
item_21,word,animals,butterfly,butterfly
item_22,word,animals,cat,cat
item_23,word,animals,chicken (animal),chicken (animal)
item_24,word,animals,cow,cow
item_25,word,animals,deer,deer
item_26,word,animals,dog,dog
item_27,word,animals,donkey,donkey
item_28,word,animals,duck,duck
item_29,word,animals,elephant,elephant
item_30,word,animals,fish (animal),fish (animal)
item_31,word,animals,frog,frog
item_32,word,animals,giraffe,giraffe
item_33,word,animals,goose,goose
item_34,word,animals,hen,hen
item_35,word,animals,horse,horse
item_36,word,animals,kitty,kitty
item_37,word,animals,lamb,lamb
item_38,word,animals,lion,lion
item_39,word,animals,monkey,monkey
item_40,word,animals,moose,moose
item_41,word,animals,mouse,mouse
item_42,word,animals,owl,owl
item_43,word,animals,penguin,penguin
item_44,word,animals,pig,pig
item_45,word,animals,pony,pony
item_46,word,animals,puppy,puppy
item_47,word,animals,rooster,rooster
item_48,word,animals,sheep,sheep
item_49,word,animals,squirrel,squirrel
item_50,word,animals,teddybear,teddybear
item_51,word,animals,tiger,tiger
item_52,word,animals,turkey,turkey
item_53,word,animals,turtle,turtle
item_54,word,animals,wolf,wolf
item_55,word,animals,zebra,zebra
item_56,word,vehicles,airplane,airplane
item_57,word,vehicles,bicycle,bicycle
item_58,word,vehicles,boat,boat
item_59,word,vehicles,bus,bus
item_60,word,vehicles,car,car
item_61,word,vehicles,firetruck,firetruck
item_62,word,vehicles,helicopter,helicopter
item_63,word,vehicles,motorcycle,motorcycle
item_64,word,vehicles,sled,sled
item_65,word,vehicles,stroller,stroller
item_66,word,vehicles,tractor,tractor
item_67,word,vehicles,train,train
item_68,word,vehicles,tricycle,tricycle
item_69,word,vehicles,truck,truck
item_70,word,toys,ball,ball
item_71,word,toys,balloon,balloon
item_72,word,toys,bat,bat
item_73,word,toys,block,block
item_74,word,toys,book,book
item_75,word,toys,bubbles,bubbles
item_76,word,toys,chalk,chalk
item_77,word,toys,crayon,crayon
item_78,word,toys,doll,doll
item_79,word,toys,game,game
item_80,word,toys,glue,glue
item_81,word,toys,pen,pen
item_82,word,toys,pencil,pencil
item_83,word,toys,play dough,play dough
item_84,word,toys,present,present
item_85,word,toys,puzzle,puzzle
item_86,word,toys,story,story
item_87,word,toys,toy,toy
item_88,word,food_drink,apple,apple
item_89,word,food_drink,applesauce,applesauce
item_90,word,food_drink,banana,banana
item_91,word,food_drink,beans,beans
item_92,word,food_drink,bread,bread
item_93,word,food_drink,butter,butter
item_94,word,food_drink,cake,cake
item_95,word,food_drink,candy,candy
item_96,word,food_drink,carrots,carrots
item_97,word,food_drink,cereal,cereal
item_98,word,food_drink,cheerios,cheerios
item_99,word,food_drink,cheese,cheese
item_100,word,food_drink,chicken (food),chicken (food)
item_101,word,food_drink,chocolate,chocolate
item_102,word,food_drink,coffee,coffee
item_103,word,food_drink,coke,coke
item_104,word,food_drink,cookie,cookie
item_105,word,food_drink,corn,corn
item_106,word,food_drink,cracker,cracker
item_107,word,food_drink,donut,donut
item_108,word,food_drink,drink (beverage),drink (beverage)
item_109,word,food_drink,egg,egg
item_110,word,food_drink,fish (food),fish (food)
item_111,word,food_drink,food,food
item_112,word,food_drink,french fries,french fries
item_113,word,food_drink,grapes,grapes
item_114,word,food_drink,green beans,green beans
item_115,word,food_drink,gum,gum
item_116,word,food_drink,hamburger,hamburger
item_117,word,food_drink,ice,ice
item_118,word,food_drink,ice cream,ice cream
item_119,word,food_drink,jello,jello
item_120,word,food_drink,jelly,jelly
item_121,word,food_drink,juice,juice
item_122,word,food_drink,lollipop,lollipop
item_123,word,food_drink,meat,meat
item_124,word,food_drink,melon,melon
item_125,word,food_drink,milk,milk
item_126,word,food_drink,muffin,muffin
item_127,word,food_drink,noodles,noodles
item_128,word,food_drink,nuts,nuts
item_129,word,food_drink,orange (food),orange (food)
item_130,word,food_drink,pancake,pancake
item_131,word,food_drink,peanut butter,peanut butter
item_132,word,food_drink,peas,peas
item_133,word,food_drink,pickle,pickle
item_134,word,food_drink,pizza,pizza
item_135,word,food_drink,popcorn,popcorn
item_136,word,food_drink,popsicle,popsicle
item_137,word,food_drink,potato chip,potato chip
item_138,word,food_drink,potato,potato
