phoneme	sonority	category	type
a	6	vowel	vowel
b	1	stop	consonant
d	1	stop	consonant
e	6	vowel	vowel
f	2	fricative	consonant
h	5	glide	consonant
i	6	vowel	vowel
j	5	glide	consonant
k	1	stop	consonant
l	4	liquid	consonant
m	3	nasal	consonant
n	3	nasal	consonant
o	6	vowel	vowel
p	1	stop	consonant
r	4	liquid	consonant
s	2	fricative	consonant
t	1	stop	consonant
u	6	vowel	vowel
v	2	fricative	consonant
w	5	glide	consonant
x	2	fricative	consonant
y	6	vowel	vowel
z	2	fricative	consonant
æ	6	vowel	vowel
ç	2	fricative	consonant
ð	2	fricative	consonant
õ	6	vowel	vowel
ø	6	vowel	vowel
ĩ	6	vowel	vowel
ŋ	3	nasal	consonant
œ	6	vowel	vowel
œ̃	6	vowel	vowel
ũ	6	vowel	vowel
ɐ	6	vowel	vowel
ɐ̃	6	vowel	vowel
ɑ	6	vowel	vowel
ɑ̃	6	vowel	vowel
ɔ	6	vowel	vowel
ɔ̃	6	vowel	vowel
ə	6	vowel	vowel
ɛ	6	vowel	vowel
ɛ̃	6	vowel	vowel
ɜ	6	vowel	vowel
ɡ	1	stop	consonant
ɥ	5	glide	consonant
ɨ	6	vowel	vowel
ɪ	6	vowel	vowel
ɲ	3	nasal	consonant
ɹ	4	liquid	consonant
ɾ	4	liquid	consonant
ʁ	2	fricative	consonant
ʃ	2	fricative	consonant
ʊ	6	vowel	vowel
ʌ	6	vowel	vowel
ʎ	4	liquid	consonant
ʒ	2	fricative	consonant
θ	2	fricative	consonant
